Before multiprocessing:
         139473373 function calls in 1154.445 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   47.199   47.199 1154.445 1154.445 FileReader.py:35(process_rows)
  8535515 1041.648    0.000 1041.648    0.000 {built-in method builtins.print}
  8535515   19.218    0.000   24.487    0.000 FileReader.py:23(read_lines)
  8535514   10.852    0.000   19.785    0.000 {built-in method builtins.any}
 72895358    9.580    0.000    9.580    0.000 FileReader.py:55(<genexpr>)
  8872921    8.950    0.000    8.950    0.000 {method 'split' of 'str' objects}
  8535514    7.367    0.000    7.367    0.000 {method 'count' of 'str' objects}
 17071028    3.973    0.000    3.973    0.000 {method 'strip' of 'str' objects}
  6222547    3.367    0.000    3.367    0.000 {method 'join' of 'str' objects}
   134706    0.343    0.000    2.291    0.000 cp1252.py:22(decode)
   134706    1.948    0.000    1.948    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        1    0.000    0.000    0.000    0.000 FileReader.py:10(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        6    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        5    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
After applying multi-processing:
         3995 function calls (3852 primitive calls) in 1970.403 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000 1970.379  985.190 process.py:142(join)
        3    0.000    0.000 1970.379  656.793 popen_spawn_win32.py:101(wait)
